timestamp,site_id,active_power,setpoint
2026-07-01 00:00:00,1,-32946,-30715
2026-07-01 00:00:00,2,-28946,-27715
2026-07-01 00:00:00,3,-32946,-31015
2026-07-01 00:30:00,1,-24123,-21266
2026-07-01 00:30:00,2,-19536,-17739
2026-07-01 00:30:00,3,-24684,-21864
2026-07-01 01:00:00,1,-28027,-24690
2026-07-01 01:00:00,2,-22878,-20658
2026-07-01 01:00:00,3,-29170,-25621
2026-07-01 01:30:00,1,-22824,-19728
2026-07-01 01:30:00,2,-17155,-15231
2026-07-01 01:30:00,3,-24562,-21025
2026-07-01 02:00:00,1,-25394,-22712
2026-07-01 02:00:00,2,-19264,-17807
2026-07-01 02:00:00,3,-27729,-24401
2026-07-01 02:30:00,1,-22485,-19183
2026-07-01 02:30:00,2,-15965,-13943
2026-07-01 02:30:00,3,-25410,-21287
2026-07-01 03:00:00,1,-22120,-16612
2026-07-01 03:00:00,2,-15295,-11122
2026-07-01 03:00:00,3,-25619,-19149
2026-07-01 03:30:00,1,-19015,-14865
2026-07-01 03:30:00,2,-11978,-9219
2026-07-01 03:30:00,3,-23064,-17845
2026-07-01 04:00:00,1,-12109,-9927
2026-07-01 04:00:00,2,-4962,-4226
2026-07-01 04:00:00,3,-16674,-13355
2026-07-01 04:30:00,1,-15510,-10176
2026-07-01 04:30:00,2,-8359,-4523
2026-07-01 04:30:00,3,-20550,-14048
2026-07-01 05:00:00,1,-734,3317
2026-07-01 05:00:00,2,6313,8819
2026-07-01 05:00:00,3,-6201,-991
2026-07-01 05:30:00,1,825,2793
2026-07-01 05:30:00,2,7661,8047
2026-07-01 05:30:00,3,-5015,-1933
2026-07-01 06:00:00,1,61,2740
2026-07-01 06:00:00,2,6584,7655
2026-07-01 06:00:00,3,-6093,-2380
2026-07-01 06:30:00,1,5202,8673
2026-07-01 06:30:00,2,11315,13170
2026-07-01 06:30:00,3,-1203,3190
2026-07-01 07:00:00,1,9879,10383
2026-07-01 07:00:00,2,15496,14397
2026-07-01 07:00:00,3,3289,4574
2026-07-01 07:30:00,1,13077,15618
2026-07-01 07:30:00,2,18124,19100
2026-07-01 07:30:00,3,6370,9526
2026-07-01 08:00:00,1,13812,16171
2026-07-01 08:00:00,2,18228,19091
2026-07-01 08:00:00,3,7056,9844
2026-07-01 08:30:00,1,16232,15854
2026-07-01 08:30:00,2,19972,18198
2026-07-01 08:30:00,3,9495,9346
